Date,DDoS-ALL,Phishing-ALL,Ransomware-ALL,Password Attack-ALL,Account Hijacking-ALL,Trojan-ALL,Vulnerability-ALL
May-18,2,119,6,1,122,38,262
Jun-18,39,80,39,4,54,38,154
Jul-18,2,46,42,41,97,76,230
Aug-18,1,118,114,2,124,114,39
Sep-18,5,78,232,41,78,39,227
Oct-18,41,189,9,3,123,111,82
Nov-18,0,123,12,41,207,76,192
Dec-18,0,199,43,38,175,148,76
Jan-19,3,241,232,75,325,111,185
Feb-19,1,304,267,38,312,151,74
Mar-19,0,197,283,76,207,111,557
Apr-19,150,192,242,113,278,410,190
May-19,1,115,344,114,275,185,152
Jun-19,38,231,166,40,240,297,297
Jul-19,38,152,218,78,164,296,43
Aug-19,38,455,161,40,390,447,112
Sep-19,39,163,253,39,207,260,77
Oct-19,79,228,247,2,235,153,191
Nov-19,3,155,361,148,131,298,151
Dec-19,37,234,147,113,276,261,38
Jan-20,1,82,320,39,56,191,338
Feb-20,4,321,190,0,257,223,300
Mar-20,41,422,172,3,318,228,261
Apr-20,39,459,128,114,540,157,192
May-20,41,341,175,42,428,150,117
Jun-20,117,234,553,1,355,113,112
Jul-20,2,311,250,53,329,297,224
Aug-20,115,461,79,113,393,43,113
Sep-20,5,271,215,74,280,37,77
Oct-20,42,377,214,39,458,76,263
Nov-20,1,231,137,38,312,112,409
Dec-20,53,493,146,39,537,38,188
Jan-21,39,307,183,115,320,39,264
Feb-21,113,255,118,1,264,186,277
Mar-21,75,277,282,37,358,77,507
Apr-21,0,274,256,150,240,39,319
May-21,4,303,330,75,238,113,201
Jun-21,41,194,205,37,128,112,303
Jul-21,2,419,293,187,349,39,347
Aug-21,1,160,375,37,307,150,154
Sep-21,81,156,194,113,314,116,456
Oct-21,54,307,345,262,292,185,226
Nov-21,77,377,331,1,466,297,305
Dec-21,0,234,403,111,278,78,891
Jan-22,41,204,289,76,286,114,412
Feb-22,8,200,140,2,219,78,133
Mar-22,90,283,243,1,250,224,381
Apr-22,80,312,138,74,175,2,308
May-22,13,256,188,78,115,334,446
Jun-22,6,401,306,37,359,66,591
Jul-22,9,424,200,3,526,1,302
Aug-22,48,352,251,75,368,42,124
Sep-22,48,274,154,0,263,56,278
Oct-22,6,100,161,78,127,82,88
Nov-22,96,308,206,42,410,75,8
Dec-22,7,122,138,38,242,2,86
